"","Name","Studios","Score","Popularity","Source"
"1","Ex-Arm","Visual Flight","2.18",2350,"Manga"
"2","Vampire Holmes","Studio! Cucuri","3.38",3993,"Game"
"3","Pupa","Studio Deen","3.41",997,"Manga"
"4","Forest Fairy Five","Unknown","3.47",8173,"Picture book"
"5","Hanoka","RAMS","3.67",7495,"Original"
"6","Mahou Shoujo? Naria☆Girls","Bouncy","3.84",5844,"Original"
"7","Ninja Collection","ILCA, DRAWIZ, Toho Interactive Animation","3.84",4513,"Original"
"8","Gibiate","Studio elle, l-a-unch・BOX","3.89",2198,"Original"
"9","Musekinin Galaxy☆Tylor","Seven","4.01",6449,"Light novel"
"10","Ladyspo","Brio Animation","4.18",7750,"Original"
"11","KochinPa!","Unknown","4.28",9139,"Other"
"12","Ragnastrike Angels","Satelight","4.34",4726,"Game"
"13","Bishoujo Yuugi Unit Crane Game Girls","Kyotoma","4.44",5784,"Original"
"14","Chou Futsuu Toshi Kashiwa Densetsu R","Super Normal Studio","4.47",7244,"Other"
"15","Glamorous Heroes","drop","4.5",7062,"Game"
"16","Makura no Danshi","feel.","4.51",2771,"Original"
"17","JK Meshi!","Kyotoma, Office Nobu","4.62",4886,"Original"
"18","Souryo to Majiwaru Shikiyoku no Yoru ni...","Seven","4.62",2691,"Manga"
"19","Love Kome: We Love Rice","Encourage Films","4.64",5015,"Original"
"20","Papillon Rose","Studio Kelmadick","4.65",7664,"Unknown"
"21","Conception","Gonzo","4.65",1605,"Game"
"22","Sushi Police","KOO-KI","4.67",4544,"Original"
"23","Sekai no Yami Zukan","ILCA","4.68",3707,"Original"
"24","Try Knights","Gonzo, Seven","4.69",4170,"Manga"
"25","3-Nen D-Gumi Glass no Kamen","DLE","4.71",8893,"Manga"
"26","Dynamic Chord","Studio Pierrot, Pierrot Plus","4.71",5346,"Visual novel"
"27","Ame-iro Cocoa","EMT Squared","4.72",3390,"Digital manga"
"28","Chargeman Ken!","Tama Production","4.73",8318,"Original"
"29","Taishou Mebiusline: Chicchai-san","Studio A-CAT","4.73",4821,"Visual novel"
"30","Room Mate","Typhoon Graphics","4.76",3626,"Original"
"31","Ame-iro Cocoa in Hawaii","EMT Squared","4.77",6188,"Digital manga"
"32","Ame-iro Cocoa Series: Ame-con!!","EMT Squared","4.78",6809,"Digital manga"
"33","Idolls!","Shin-Ei Animation","4.78",8083,"Original"
"34","Ame-iro Cocoa: Rainy Color e Youkoso!","EMT Squared","4.8",5039,"Digital manga"
"35","Million Doll","Asahi Production","4.81",4840,"Web manga"
"36","Bishoujo Yuugi Unit Crane Game Girls Galaxy","Kyotoma","4.82",7974,"Original"
"37","Love Kome: We Love Rice 2nd Season","Encourage Films","4.83",7487,"Original"
"38","KochinPa! Dainiki","Unknown","4.85",10222,"Other"
"39","Nazotokine","Tengu Kobo","4.86",4580,"Original"
"40","Ame-iro Cocoa: Side G","EMT Squared","4.88",5543,"Digital manga"
"41","Pac-World","OLM Digital","4.9",9909,"Game"
"42","Ore ga Suki nano wa Imouto dakedo Imouto ja Nai","NAZ, Magia Doraglier","4.91",1495,"Light novel"
"43","Legend of Duo","Radix, Marine Entertainment","4.93",4855,"Original"
"44","Yousei Land Mukashibanashi","Unknown","4.93",11810,"Picture book"
"45","Senjuushi","TMS Entertainment","4.93",4657,"Game"
"46","Chou Henshin Cosprayers","Imagin, Studio Live","4.95",5542,"Original"
"47","Ousama Game The Animation","Seven","5.0",846,"Novel"
"48","Rail Romanesque","Saetta","5.02",3686,"Visual novel"
"49","Kaito x Ansa","Tengu Kobo","5.03",7410,"Original"
"50","Dia Horizon (Kabu)","Fanworks","5.05",6491,"Original"
"51","Hakata Mentai! Pirikarako-chan","G-angle","5.05",8428,"Original"
"52","Tenka Hyakken: Meiji-kan e Youkoso!","LIDENFILMS","5.06",5790,"Game"
"53","Run=Dim","Unknown","5.07",9015,"Game"
"54","BAR Kiraware Yasai","Gathering","5.07",8399,"4-koma manga"
"55","Funny Pets","Unknown","5.09",10992,"Original"
"56","Shadowverse (TV)","Zexcs","5.09",4901,"Card game"
"57","Genma Taisen: Shinwa Zenya no Shou","Unknown","5.1",9529,"Manga"
"58","Oshiri Kajiri Mushi (TV)","Kinema Citrus","5.1",9993,"Music"
"59","Hentatsu (TV)","Yaoyorozu","5.1",6980,"Original"
"60","Pastel Memories","Project No.9","5.12",4008,"Game"
"61","Ao Oni The Animation","Studio Deen","5.14",3944,"Game"
"62","The Reflection","Studio Deen","5.14",3157,"Original"
"63","High & Low: G-Sword","Unknown","5.14",11984,"Other"
